"Provincia, canton y distrito",Población de 15 años y más,Tasa neta de participación,Tasa_de_ocupacion,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica,Sector Primario,Sector Secundario,Sector Terciario
Barbacoas         ,2838.0,49.36575052854123,47.815362931642,3.140613847251963,50.63424947145877,1.635260528194147,14.148857774502579,17.980840088430362,67.87030213706706
Grifo Alto        ,922.0,44.577006507592195,43.16702819956616,3.1630170316301705,55.42299349240781,1.8759124087591241,33.165829145728644,13.316582914572864,53.517587939698494
San Rafael        ,1409.0,46.0610361958836,44.78353442157559,2.773497688751926,53.93896380411639,1.6656394453004622,13.312202852614895,13.787638668779714,72.90015847860539
Candelarita       ,1112.0,43.25539568345324,42.44604316546763,1.8711018711018712,56.74460431654676,1.9854469854469854,37.28813559322034,9.533898305084746,53.17796610169492
Desamparaditos    ,542.0,49.2619926199262,48.708487084870846,1.1235955056179776,50.7380073800738,1.4943820224719102,8.333333333333332,17.045454545454543,74.62121212121212
San Antonio       ,2978.0,54.09670920080592,51.84687709872398,4.158907510862818,45.90329079919409,1.4140285536933581,8.549222797927461,17.487046632124354,73.96373056994818
Chires            ,2289.0,44.03669724770643,41.8086500655308,5.059523809523809,55.96330275229357,2.0069444444444446,54.858934169278996,6.269592476489027,38.87147335423197
,,,,,,,,,
Tarrazú,11800.0,51.16101694915254,49.737288135593225,2.782839158522445,48.83898305084745,1.696703660758655,41.21656159482024,10.393593457147725,48.389844948032035
,,,,,,,,,
San Marcos        ,7427.0,51.339706476370004,49.7105156860105,3.1733543141883027,48.66029352363,1.6207710464201417,27.87107258938245,12.323943661971832,59.804983748645725
San Lorenzo       ,3116.0,51.50834403080873,50.224646983311935,2.4922118380062304,48.49165596919127,1.7376947040498443,60.95846645367412,6.581469648562301,32.46006389776358
San Carlos        ,1257.0,49.2442322991249,48.6873508353222,1.1308562197092082,50.7557677008751,2.0581583198707594,71.24183006535948,8.49673202614379,20.26143790849673
,,,,,,,,,
Aserrí,43396.0,54.45663194764494,52.68688358374044,3.2498307379823967,45.543368052355056,1.4497291807718349,7.2778166550035,18.964310706787963,73.75787263820854
,,,,,,,,,
Aserrí            ,21291.0,56.57319994363815,54.63341317927763,3.4288086342880866,43.42680005636184,1.3404732254047322,1.5818431911966988,19.790233837689133,78.62792297111417
Tarbaca     ,1096.0,53.46715328467153,51.18613138686131,4.266211604095563,46.53284671532847,1.4675767918088738,20.499108734402853,16.577540106951872,62.92335115864528
Vuelta de Jorco   ,4956.0,49.455205811138015,47.98224374495561,2.9783761729906164,50.544794188861985,1.6515707874337004,22.413793103448278,13.162321278385198,64.42388561816654
San Gabriel       ,4521.0,49.856226498562265,48.72815748728158,2.2626441881100265,50.143773501437735,1.688997338065661,13.527008624602816,16.06899682251475,70.40399455288244
Legua           ,1063.0,45.155221072436504,43.93226716839135,2.7083333333333335,54.844778927563496,2.16875,52.46252676659529,8.779443254817988,38.75802997858672
Monterrey         ,362.0,46.96132596685083,45.58011049723757,2.941176470588235,53.03867403314917,1.9294117647058824,55.15151515151515,10.909090909090908,33.939393939393945
Salitrillos       ,10107.0,55.86227367171267,54.00217670921143,3.329791002479632,44.13772632828732,1.4222458377612468,3.6277024551117627,22.260901429094908,74.11139611579333
,,,,,,,,,
Mora,20414.0,55.21700793573038,53.433917899480754,3.2292405961674944,44.782992064269614,1.3326827537260468,8.259992665933261,16.0982764943161,75.64173083975064
,,,,,,,,,
Colón            ,12642.0,58.629963613352324,56.74735010283183,3.211009174311927,41.37003638664768,1.1705342687533729,4.572065793141902,15.625871201561193,79.8020630052969
Guayabo           ,3381.0,53.59361135758651,52.23306713989943,2.5386313465783665,46.40638864241349,1.455298013245033,8.776896942242356,20.15855039637599,71.06455266138165
Tabarcia          ,3561.0,48.1044650379107,46.11064307778714,4.144775248102744,51.89553496208929,1.7454757734967892,17.72228989037759,15.225334957369064,67.05237515225335
Piedras Negras    ,288.0,39.93055555555556,38.54166666666667,3.4782608695652173,60.06944444444444,2.2956521739130435,58.55855855855856,3.6036036036036037,37.83783783783784
Picagres          ,542.0,40.59040590405904,39.66789667896679,2.272727272727273,59.40959409594095,2.0681818181818183,28.837209302325583,11.627906976744185,59.53488372093023
,,,,,,,,,
Goicoechea,90537.0,56.79335520284524,54.69807923832245,3.689297730410938,43.20664479715475,1.2381609910733387,1.0359032349258916,16.673397681838374,82.29069908323574
,,,,,,,,,
